Unnamed: 0,im,L,k,MSE,SNR,PSNR
45,barbara_256,72,0,7.751174926757812,13.944742027753009,39.237128228090114
46,barbara_256,72,1,6.731124877929688,16.05796010708837,39.849927130696415
47,barbara_256,72,2,6.115493774414063,17.67447384507903,40.26648832472573
48,barbara_256,72,3,7.091033935546875,15.242930121062663,39.623707970861695
49,barbara_256,72,4,6.712799072265625,16.101798013320302,39.86176712805923
50,barbara_256,80,0,8.215606689453125,13.156439792131764,38.984407210149136
51,barbara_256,80,1,7.6786956787109375,14.076366519550664,39.27792904852781
52,barbara_256,80,2,6.470306396484375,16.705257547672613,40.02155514024285
53,barbara_256,80,3,8.021392822265625,13.474983355209345,39.08830575812591
54,barbara_256,80,4,7.380218505859375,14.645655095416297,39.45011140713678
55,barbara_256,88,0,8.47601318359375,12.752237688214242,38.84888737326845
56,barbara_256,88,1,7.807220458984375,13.844637196230265,39.20583917795193
57,barbara_256,88,2,8.102615356445312,13.339906932598636,39.04455138095348
58,barbara_256,88,3,8.28839111328125,13.040906647422256,38.94610124459496
59,barbara_256,88,4,8.346084594726562,12.9507595494443,38.91597578522804
60,barbara_256,96,0,7.931838989257812,13.627121643796617,39.13706471117119
61,barbara_256,96,1,9.689376831054688,11.155323675636176,38.26784514419526
62,barbara_256,96,2,10.671249389648438,10.128910947435552,37.84865091278037
63,barbara_256,96,3,9.466033935546877,11.41852390363108,38.36912303795904
64,barbara_256,96,4,9.58660888671875,11.274908160211885,38.31415351427649
65,barbara_256,104,0,8.902359008789062,12.141516047478254,38.63575256610895
66,barbara_256,104,1,10.4228515625,10.370303569755457,37.95093808081445
67,barbara_256,104,2,9.051422119140623,11.941563805432962,38.56363541886563
68,barbara_256,104,3,10.13525390625,10.6645709881004,38.07245727848547
69,barbara_256,104,4,11.014175415039062,9.81354760502892,37.71128371964261
70,barbara_256,112,0,11.929946899414062,9.060236032646024,37.36441850252286
71,barbara_256,112,1,10.110519409179688,10.69066092366017,38.08306893630401
72,barbara_256,112,2,10.54290771484375,10.252212927316409,37.90119955839961
73,barbara_256,112,3,10.542068481445312,10.2530290858826,37.90154527795914
74,barbara_256,112,4,10.165283203125,10.633066743521388,38.05960878352177
75,barbara_256,120,0,11.21533203125,9.637533196917584,37.632682254183706
76,barbara_256,120,1,10.962509155273438,9.85979881381718,37.73170391795243
77,barbara_256,120,2,9.994583129882812,10.81467164372791,38.13315676287427
78,barbara_256,120,3,11.560211181640623,9.350013859373556,37.50114593030504
79,barbara_256,120,4,11.51593017578125,9.385966493001266,37.517813378995214
80,barbara_256,128,0,12.957290649414062,8.341877765203392,37.00566160183565
81,barbara_256,128,1,13.024002075195312,8.299149074268254,36.98335904123936
82,barbara_256,128,2,12.026824951171877,8.987254342227128,37.32929370949806
83,barbara_256,128,3,11.89288330078125,9.08847182234813,37.377932034893085
84,barbara_256,128,4,11.589401245117188,9.326464109710964,37.490193617169766
0,boat_256,0,0,0.0,inf,inf
1,boat_256,0,1,0.0,inf,inf
2,boat_256,0,2,0.0,inf,inf
3,boat_256,0,3,0.0,inf,inf
4,boat_256,0,4,0.0,inf,inf
5,boat_256,8,0,0.9327545166015624,114.52793273241832,48.433130002009975
6,boat_256,8,1,1.0711669921875,99.72903133903134,47.83223179361804
7,boat_256,8,2,1.2422943115234375,85.99125468279802,47.18855864279564
8,boat_256,8,3,1.1218719482421875,95.2216041238796,47.63137071991898
9,boat_256,8,4,0.5942840576171875,179.75654094025214,50.39086280923938
10,boat_256,16,0,1.9236297607421875,55.53378758913911,45.28958873384145
11,boat_256,16,1,1.6776275634765625,63.67709309200055,45.88384807879248
12,boat_256,16,2,1.781494140625,59.96452309168152,45.62295962583018
13,boat_256,16,3,1.7851715087890625,59.84099903413025,45.61400413953302
14,boat_256,16,4,1.44097900390625,74.13463086111229,46.5442270798875
15,boat_256,24,0,3.261505126953125,32.753726385523,42.996622953156425
16,boat_256,24,1,2.511871337890625,42.5286299189639,44.13082970498281
17,boat_256,24,2,2.7246551513671875,39.207327385852615,43.7776881768114
18,boat_256,24,3,2.4384765625,43.80868291950341,44.25961775156375
19,boat_256,24,4,2.275131225585937,46.953971415732745,44.56073909806969
20,boat_256,32,0,3.65283203125,29.244828565699773,42.5045065842835
21,boat_256,32,1,3.256378173828125,32.80529497211939,43.00345525685884
22,boat_256,32,2,3.1897125244140625,33.49093240082089,43.09328817210901
23,boat_256,32,3,2.802520751953125,38.11798590920476,43.65531523748852
24,boat_256,32,4,2.9923553466796875,35.6997863411301,43.37067195492793
25,boat_256,40,0,4.2481842041015625,25.14637817024593,41.84877021087712
26,boat_256,40,1,4.4842681884765625,23.82249277768893,41.61388782526488
27,boat_256,40,2,3.800048828125,28.111861548345647,42.33291183817151
28,boat_256,40,3,3.730133056640625,28.63877639512718,42.41356037173389
29,boat_256,40,4,3.21893310546875,33.18691101461916,43.05368409416116
30,boat_256,48,0,5.079559326171875,21.03065239986302,41.07254323881875
31,boat_256,48,1,4.51190185546875,23.676589153578725,41.5872071672151
32,boat_256,48,2,5.21392822265625,20.48866842259292,40.95915312692846
33,boat_256,48,3,4.8580169677734375,21.98972281115037,41.26621333519938
34,boat_256,48,4,5.4398345947265625,19.637811531395077,40.77494666259736
35,boat_256,56,0,4.5760345458984375,23.34476400073359,41.52591066447359
36,boat_256,56,1,5.020416259765625,21.27840422104566,41.12340633399279
37,boat_256,56,2,5.3733673095703125,19.880726624241444,40.82833832030613
38,boat_256,56,3,5.24749755859375,20.357598138993893,40.93128115669596
39,boat_256,56,4,5.0840911865234375,21.011906083897824,41.068670295585584
40,boat_256,64,0,6.1611328125,17.33876703915042,40.2341979010174
41,boat_256,64,1,5.75262451171875,18.57003639218682,40.53214333411249
42,boat_256,64,2,5.3036041259765625,20.14223610883344,40.88509261067014
43,boat_256,64,3,5.9498443603515625,17.954494279727847,40.38574755530041
44,boat_256,64,4,5.836517333984375,18.30311475495553,40.4692658118709
45,boat_256,72,0,6.568115234375,16.26439895178976,39.95639597205038
46,boat_256,72,1,6.4986114501953125,16.438349538499107,40.00259789446404
47,boat_256,72,2,6.957855224609375,15.353358626285663,39.70604972933402
48,boat_256,72,3,7.095474243164063,15.055575268435664,39.62098932983351
49,boat_256,72,4,6.87591552734375,15.53632328791443,39.75749828256304
50,boat_256,80,0,6.7119903564453125,15.915762815514338,39.8622903702605
51,boat_256,80,1,8.097152709960938,13.193087787734028,39.04748030846027
52,boat_256,80,2,7.6326141357421875,13.99604966704051,39.304070535438015
